timeframe,rsi_at_entry,ema_diff,volume_ratio,session,htf_bias,trade_direction,sl_distance_points,entry_price,result,pnl_points,EnteredAt,ExitedAt,ExitPrice,PnL,Size,duration_seconds
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24639.25,loss,-4.25,2026-03-16 14:41:10+00:00,2026-03-16 14:41:18+00:00,24643.5,-42.5,5,8.297267
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24648.25,win,2.25,2026-03-16 14:41:57+00:00,2026-03-16 14:42:27+00:00,24646.0,22.5,5,29.785666
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24639.0,loss,-11.0,2026-03-16 14:42:40+00:00,2026-03-16 14:43:28+00:00,24650.0,-110.0,5,48.059932
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24642.75,loss,-12.75,2026-03-16 14:44:05+00:00,2026-03-16 14:45:03+00:00,24655.5,-382.5,15,57.576517
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24660.0,win,1.75,2026-03-16 14:47:01+00:00,2026-03-16 14:47:24+00:00,24658.25,17.5,5,22.591371
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24642.5,win,23.0,2026-03-16 14:50:00+00:00,2026-03-16 14:50:22+00:00,24619.5,690.0,15,21.641184
1H,50.0,0.0,1.0,asia,bullish,long,20.0,6735.5,win,0.25,2026-03-17 03:15:11+00:00,2026-03-17 03:15:28+00:00,6735.75,12.5,10,17.258701
1H,50.0,0.0,1.0,asia,bullish,short,20.0,6732.0,loss,-2.0,2026-03-17 04:03:28+00:00,2026-03-17 04:06:25+00:00,6734.0,-150.0,15,176.520007
1H,50.0,0.0,1.0,asia,bullish,short,20.0,6732.5,loss,-2.0,2026-03-17 04:09:36+00:00,2026-03-17 04:12:11+00:00,6734.5,-150.0,15,155.247183
1H,50.0,0.0,1.0,asia,bullish,short,20.0,6720.5,loss,-2.5,2026-03-17 06:27:04+00:00,2026-03-17 06:36:07+00:00,6723.0,-187.5,15,543.467371
1H,50.0,0.0,1.0,asia,bullish,long,20.0,24760.0,win,5.25,2026-03-17 06:37:34+00:00,2026-03-17 06:41:25+00:00,24765.25,157.5,15,230.302061
1H,50.0,0.0,1.0,asia,bullish,long,20.0,24767.0,loss,-4.5,2026-03-17 06:42:08+00:00,2026-03-17 06:45:09+00:00,24762.5,-135.0,15,180.802953
1H,50.0,0.0,1.0,asia,bullish,short,20.0,24751.5,win,3.25,2026-03-17 06:46:51+00:00,2026-03-17 06:47:21+00:00,24748.25,97.5,15,30.264068
1H,50.0,0.0,1.0,asia,bullish,short,20.0,24745.75,loss,-7.25,2026-03-17 06:48:40+00:00,2026-03-17 06:49:02+00:00,24753.0,-217.5,15,21.44116
1H,50.0,0.0,1.0,asia,bullish,long,20.0,24752.25,loss,-8.0,2026-03-17 06:49:10+00:00,2026-03-17 06:49:53+00:00,24744.25,-240.0,15,42.74705
1H,50.0,0.0,1.0,asia,bullish,long,20.0,24750.25,loss,-6.0,2026-03-17 06:49:16+00:00,2026-03-17 06:49:53+00:00,24744.25,-180.0,15,37.460902
1H,50.0,0.0,1.0,asia,bullish,long,20.0,24746.25,win,7.0,2026-03-17 06:50:40+00:00,2026-03-17 07:04:12+00:00,24753.25,420.0,3,811.862309
1H,50.0,0.0,1.0,overnight,bullish,long,20.0,24746.5,win,6.75,2026-03-17 07:00:08+00:00,2026-03-17 07:04:12+00:00,24753.25,135.0,1,244.273834
1H,50.0,0.0,1.0,overnight,bullish,long,20.0,24759.5,win,14.75,2026-03-17 07:04:39+00:00,2026-03-17 07:19:04+00:00,24774.25,1180.0,4,864.680486
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24217.25,loss,-35.25,2026-03-24 14:06:07+00:00,2026-03-24 14:07:14+00:00,24252.5,-352.5,5,67.003429
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24280.5,loss,-21.0,2026-03-24 14:10:19+00:00,2026-03-24 14:10:53+00:00,24259.5,-420.0,1,33.624064
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24249.25,win,48.25,2026-03-24 14:11:11+00:00,2026-03-24 14:13:18+00:00,24201.0,965.0,1,127.031504
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24250.5,win,49.5,2026-03-24 14:11:11+00:00,2026-03-24 14:13:18+00:00,24201.0,990.0,1,126.51716
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24392.25,loss,0.0,2026-03-25 14:02:45+00:00,2026-03-25 14:05:13+00:00,24392.25,0.0,1,148.181851
1H,50.0,0.0,1.0,newyork,bullish,short,20.0,24407.0,loss,-16.75,2026-03-25 14:06:02+00:00,2026-03-25 14:06:41+00:00,24423.75,-670.0,2,38.462444
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24405.75,win,40.75,2026-03-25 14:10:22+00:00,2026-03-25 14:13:01+00:00,24446.5,815.0,1,159.455395
1H,50.0,0.0,1.0,newyork,bullish,long,20.0,24405.25,win,41.25,2026-03-25 14:10:24+00:00,2026-03-25 14:13:01+00:00,24446.5,825.0,1,156.860896
