Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
1633775531,MNQZ5,11/14/2025 19:05:11 +04:00,11/14/2025 19:06:52 +04:00,24908.000000000,24969.750000000,0.74000,-123.500000000,1,Short,11/14/2025 00:00:00 -06:00,00:01:40.4417720,
1633775532,MNQZ5,11/14/2025 19:05:12 +04:00,11/14/2025 19:06:52 +04:00,24907.250000000,24969.750000000,0.74000,-125.000000000,1,Short,11/14/2025 00:00:00 -06:00,00:01:40.0440320,
1633956407,MNQZ5,11/14/2025 19:08:11 +04:00,11/14/2025 19:15:26 +04:00,24925.000000000,24926.250000000,0.74000,-2.500000000,1,Short,11/14/2025 00:00:00 -06:00,00:07:14.4605140,
1633956408,MNQZ5,11/14/2025 19:08:17 +04:00,11/14/2025 19:15:26 +04:00,24927.000000000,24926.250000000,0.74000,1.500000000,1,Short,11/14/2025 00:00:00 -06:00,00:07:08.7615880,
1634704470,MNQZ5,11/14/2025 20:04:45 +04:00,11/14/2025 20:06:28 +04:00,25091.750000000,25091.250000000,0.74000,1.000000000,1,Short,11/14/2025 00:00:00 -06:00,00:01:43.3468340,
1634801024,MNQZ5,11/14/2025 20:08:42 +04:00,11/14/2025 20:16:46 +04:00,25094.000000000,25138.500000000,1.48000,-178.000000000,2,Short,11/14/2025 00:00:00 -06:00,00:08:04.4503860,
1640748175,MNQZ5,11/17/2025 18:44:31 +04:00,11/17/2025 18:44:39 +04:00,25162.750000000,25164.250000000,0.74000,-3.000000000,1,Short,11/17/2025 00:00:00 -06:00,00:00:07.4676650,
1640792501,MNQZ5,11/17/2025 18:45:02 +04:00,11/17/2025 18:46:19 +04:00,25153.750000000,25198.750000000,0.74000,-90.000000000,1,Short,11/17/2025 00:00:00 -06:00,00:01:16.5742290,
1640792502,MNQZ5,11/17/2025 18:45:03 +04:00,11/17/2025 18:46:19 +04:00,25154.250000000,25198.750000000,0.74000,-89.000000000,1,Short,11/17/2025 00:00:00 -06:00,00:01:15.7759080,
1640792503,MNQZ5,11/17/2025 18:45:14 +04:00,11/17/2025 18:46:19 +04:00,25166.500000000,25198.750000000,0.74000,-64.500000000,1,Short,11/17/2025 00:00:00 -06:00,00:01:05.4265250,
1641083030,MNQZ5,11/17/2025 19:00:00 +04:00,11/17/2025 19:00:02 +04:00,25202.750000000,25208.000000000,0.74000,-10.500000000,1,Short,11/17/2025 00:00:00 -06:00,00:00:01.7505320,
1641173019,MNQZ5,11/17/2025 19:00:27 +04:00,11/17/2025 19:03:32 +04:00,25209.750000000,25151.250000000,0.74000,117.000000000,1,Short,11/17/2025 00:00:00 -06:00,00:03:04.8475130,
