Id,ContractName,EnteredAt,ExitedAt,EntryPrice,ExitPrice,Fees,PnL,Size,Type,TradeDay,TradeDuration,Commissions
2281346498,MNQH6,03/13/2026 15:54:31 +02:00,03/13/2026 15:54:34 +02:00,24785.000000000,24787.000000000,11.10000,60.000000000,15,Long,03/13/2026 00:00:00 -05:00,00:00:03.0968020,
2281370653,MNQH6,03/13/2026 15:55:00 +02:00,03/13/2026 15:56:06 +02:00,24790.750000000,24769.750000000,11.10000,-630.000000000,15,Long,03/13/2026 00:00:00 -05:00,00:01:06.0963980,
2281438430,MNQH6,03/13/2026 15:56:15 +02:00,03/13/2026 15:59:13 +02:00,24753.000000000,24729.750000000,11.10000,697.500000000,15,Short,03/13/2026 00:00:00 -05:00,00:02:57.4432080,
2289767400,MNQH6,03/16/2026 16:36:21 +02:00,03/16/2026 16:37:49 +02:00,24695.500000000,24676.750000000,0.74000,-37.500000000,1,Long,03/16/2026 00:00:00 -05:00,00:01:28.4775230,
2289767405,MNQH6,03/16/2026 16:36:21 +02:00,03/16/2026 16:37:49 +02:00,24696.000000000,24676.750000000,0.74000,-38.500000000,1,Long,03/16/2026 00:00:00 -05:00,00:01:27.8453260,
2289802356,MNQH6,03/16/2026 16:37:59 +02:00,03/16/2026 16:38:53 +02:00,24672.750000000,24646.750000000,11.10000,780.000000000,15,Short,03/16/2026 00:00:00 -05:00,00:00:54.2364310,
2289857739,MNQH6,03/16/2026 16:41:10 +02:00,03/16/2026 16:41:18 +02:00,24639.250000000,24643.500000000,3.70000,-42.500000000,5,Short,03/16/2026 00:00:00 -05:00,00:00:08.2972670,
2289874720,MNQH6,03/16/2026 16:41:57 +02:00,03/16/2026 16:42:27 +02:00,24648.250000000,24646.000000000,3.70000,22.500000000,5,Short,03/16/2026 00:00:00 -05:00,00:00:29.7856660,
2289894562,MNQH6,03/16/2026 16:42:40 +02:00,03/16/2026 16:43:28 +02:00,24639.000000000,24650.000000000,3.70000,-110.000000000,5,Short,03/16/2026 00:00:00 -05:00,00:00:48.0599320,
2289910773,MNQH6,03/16/2026 16:44:05 +02:00,03/16/2026 16:45:03 +02:00,24642.750000000,24655.500000000,11.10000,-382.500000000,15,Short,03/16/2026 00:00:00 -05:00,00:00:57.5765170,
2289953246,MNQH6,03/16/2026 16:47:01 +02:00,03/16/2026 16:47:24 +02:00,24660.000000000,24658.250000000,3.70000,17.500000000,5,Short,03/16/2026 00:00:00 -05:00,00:00:22.5913710,
2290023855,MNQH6,03/16/2026 16:50:00 +02:00,03/16/2026 16:50:22 +02:00,24642.500000000,24619.500000000,11.10000,690.000000000,15,Short,03/16/2026 00:00:00 -05:00,00:00:21.6411840,
2294003380,MESM6,03/17/2026 05:15:11 +02:00,03/17/2026 05:15:28 +02:00,6735.500000000,6735.750000000,7.40000,12.500000000,10,Long,03/17/2026 00:00:00 -05:00,00:00:17.2587010,
2294134963,MESM6,03/17/2026 06:03:28 +02:00,03/17/2026 06:06:25 +02:00,6732.000000000,6734.000000000,11.10000,-150.000000000,15,Short,03/17/2026 00:00:00 -05:00,00:02:56.5200070,
